name;empty;deterministic;inherently weak;semi deterministic;terminal;unambiguous;weak;very weak;
automata/from_ltl/literature_det/1.hoa;0;1;1;1;1;1;1;1;
automata/from_ltl/literature_det/10.hoa;0;1;1;1;1;1;1;1;
automata/from_ltl/literature_det/100.hoa;0;1;0;1;0;1;0;0;
automata/from_ltl/literature_det/101.hoa;0;1;1;1;0;1;1;0;
automata/from_ltl/literature_det/102.hoa;0;1;0;1;0;1;0;0;
automata/from_ltl/literature_det/103.hoa;0;1;1;1;0;1;1;0;
automata/from_ltl/literature_det/104.hoa;0;1;0;1;0;1;0;0;
automata/from_ltl/literature_det/105.hoa;0;1;1;1;0;1;1;0;
automata/from_ltl/literature_det/106.hoa;0;1;1;1;0;1;1;0;
automata/from_ltl/literature_det/107.hoa;0;1;0;1;0;1;0;0;
automata/from_ltl/literature_det/108.hoa;0;1;1;1;0;1;1;0;
automata/from_ltl/literature_det/109.hoa;0;0;1;1;1;0;1;1;
automata/from_ltl/literature_det/11.hoa;0;1;1;1;1;1;1;1;
automata/from_ltl/literature_det/110.hoa;0;0;1;1;1;0;1;1;
automata/from_ltl/literature_det/111.hoa;0;1;1;1;1;1;1;0;
automata/from_ltl/literature_det/112.hoa;0;1;1;1;1;1;1;0;
automata/from_ltl/literature_det/113.hoa;0;1;0;1;0;1;0;0;
automata/from_ltl/literature_det/114.hoa;0;1;0;1;0;1;0;0;
automata/from_ltl/literature_det/115.hoa;0;1;0;1;0;1;0;0;
automata/from_ltl/literature_det/116.hoa;0;1;1;1;1;1;1;1;
automata/from_ltl/literature_det/117.hoa;0;1;1;1;0;1;1;1;
automata/from_ltl/literature_det/118.hoa;0;1;1;1;0;1;1;1;
automata/from_ltl/literature_det/119.hoa;0;1;0;1;0;1;0;0;
automata/from_ltl/literature_det/12.hoa;0;1;1;1;1;1;1;1;
automata/from_ltl/literature_det/120.hoa;0;1;1;1;1;1;1;1;
automata/from_ltl/literature_det/121.hoa;0;1;1;1;0;1;1;1;
automata/from_ltl/literature_det/122.hoa;0;1;1;1;0;1;1;1;
automata/from_ltl/literature_det/123.hoa;0;1;0;1;0;1;0;0;
automata/from_ltl/literature_det/124.hoa;0;1;0;1;0;1;0;0;
automata/from_ltl/literature_det/125.hoa;0;1;1;1;0;1;1;1;
automata/from_ltl/literature_det/126.hoa;0;1;1;1;0;1;1;0;
automata/from_ltl/literature_det/127.hoa;0;1;1;1;0;1;1;0;
automata/from_ltl/literature_det/128.hoa;0;1;1;1;0;1;1;1;
automata/from_ltl/literature_det/129.hoa;0;1;1;1;0;1;1;0;
automata/from_ltl/literature_det/13.hoa;0;1;1;1;1;1;1;0;
automata/from_ltl/literature_det/130.hoa;0;1;0;1;0;1;0;0;
automata/from_ltl/literature_det/131.hoa;0;1;0;1;0;1;0;0;
automata/from_ltl/literature_det/132.hoa;0;1;0;1;0;1;0;0;
automata/from_ltl/literature_det/133.hoa;0;1;0;1;0;1;0;0;
automata/from_ltl/literature_det/134.hoa;0;1;0;1;0;1;0;0;
automata/from_ltl/literature_det/135.hoa;0;0;0;0;0;0;0;0;
automata/from_ltl/literature_det/136.hoa;0;1;0;1;0;1;0;0;
automata/from_ltl/literature_det/137.hoa;0;1;0;1;0;1;0;0;
automata/from_ltl/literature_det/138.hoa;0;1;1;1;0;1;1;0;
automata/from_ltl/literature_det/139.hoa;0;1;0;1;0;1;0;0;
automata/from_ltl/literature_det/14.hoa;0;1;1;1;1;1;1;0;
automata/from_ltl/literature_det/140.hoa;0;1;0;1;0;1;0;0;
automata/from_ltl/literature_det/141.hoa;0;1;1;1;0;1;1;0;
automata/from_ltl/literature_det/142.hoa;0;1;1;1;0;1;1;0;
automata/from_ltl/literature_det/143.hoa;0;1;1;1;0;1;1;0;
automata/from_ltl/literature_det/144.hoa;0;1;0;1;0;1;0;0;
automata/from_ltl/literature_det/145.hoa;0;1;1;1;0;1;1;0;
automata/from_ltl/literature_det/146.hoa;0;1;1;1;0;1;1;0;
automata/from_ltl/literature_det/147.hoa;0;0;1;0;0;0;1;0;
automata/from_ltl/literature_det/148.hoa;0;0;1;0;0;0;1;0;
automata/from_ltl/literature_det/149.hoa;0;1;1;1;0;1;1;1;
automata/from_ltl/literature_det/15.hoa;0;1;1;1;1;1;1;1;
automata/from_ltl/literature_det/150.hoa;0;1;1;1;0;1;1;0;
automata/from_ltl/literature_det/151.hoa;0;1;1;1;0;1;1;0;
automata/from_ltl/literature_det/152.hoa;0;1;1;1;0;1;1;0;
